animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
31414,Nijiiro Days,Manga,YTV,Comedy,Production Reed,24,FALSE,1749,898,110159,494,46361,7.48
31417,Binan Koukou Chikyuu Boueibu LOVE! LOVE!,Original,Pony Canyon,Slice of Life,Studio Comet,12,FALSE,2983,2917,19687,93,6731,7.17
31418,KanColle Movie,Card game,,Action,Diomedea,1,FALSE,1314,2539,25454,164,9235,7.62
31422,Minami Kamakura Koukou Joshi Jitenshabu,Manga,Genco,Sports,J.C.Staff,12,FALSE,6890,3455,14067,6,4472,6.24
31426,Urawa no Usagi-chan Special,Original,,Comedy,A-Real,1,FALSE,9370,8059,1449,0,470,5.28
31427,Zinba,Unknown,G.CMay Animation & Film,Action,,52,FALSE,5424,10157,511,7,98,6.59
31430,Terra Formars Revenge,Manga,Warner Bros. Japan,Action,TYO Animations,13,FALSE,4230,1528,57287,82,27870,6.85
31433,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,Novel,Shochiku,Action,Production I.G,12,FALSE,1229,1754,46780,124,15211,7.65
31436,Danchi Tomoo: Natsuyasumi no Shukudai wa Owatta no ka yo? Tomoo,Manga,NHK,Comedy,,1,FALSE,10756,13919,106,0,9,4.67
31439,Wagamama High Spec,Visual novel,Hobi Animation,Comedy,AXsiZ,12,FALSE,9053,2485,26441,37,10042,5.45
31440,Teekyuu 6,Manga,DAX Production,Comedy,Millepensee,12,FALSE,4787,3744,11482,12,6230,6.73
31442,Musaigen no Phantom World,Light novel,Lantis,Action,Kyoto Animation,13,FALSE,3709,292,280894,930,126941,6.99
31448,Mahouka Koukou no Rettousei: Yoku Wakaru Mahouka! Special,Unknown,Aniplex,Magic,,1,FALSE,5584,4650,6819,10,2314,6.55
31450,Sol,Unknown,,Dementia,,1,FALSE,9823,12886,158,0,78,4.93
31452,Norn9: Norn+Nonet,Visual novel,Frontier Works,Sci-Fi,Kinema Citrus,12,FALSE,4988,1562,55352,206,17958,6.68
31454,Gundam: G no Reconguista - From the Past to the Future,Original,,Action,Sunrise,1,FALSE,7372,8106,1420,0,481,6.11
